ticker,title,status,city,date,comparison,threshold_low,threshold_high,predicted_temp_f,std_dev,source,ai_probability_yes,predicted_direction,resolved_outcome,yes_ask_percent,yes_bid_percent,no_ask_percent,no_bid_percent,last_price_percent,result
KXHIGHLAX-26MAR18-T89,"Will the **high temp in LA** be >89° on Mar 18, 2026?",finalized,Los Angeles,"Mar 18, 2026",greater_than,89.0,,96.08,9.54,openmeteo_archive,77.1,YES,NO,100.0,0.0,100.0,0.0,1.0,LOSS
KXHIGHLAX-26MAR18-T82,"Will the **high temp in LA** be <82° on Mar 18, 2026?",finalized,Los Angeles,"Mar 18, 2026",less_than,,82.0,96.08,9.54,openmeteo_archive,7.0,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR18-B88.5,"Will the **high temp in LA** be 88-89° on Mar 18, 2026?",finalized,Los Angeles,"Mar 18, 2026",between,88.0,89.0,96.08,9.54,openmeteo_archive,3.05,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR18-B86.5,"Will the **high temp in LA** be 86-87° on Mar 18, 2026?",finalized,Los Angeles,"Mar 18, 2026",between,86.0,87.0,96.08,9.54,openmeteo_archive,2.53,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR18-B84.5,"Will the **high temp in LA** be 84-85° on Mar 18, 2026?",finalized,Los Angeles,"Mar 18, 2026",between,84.0,85.0,96.08,9.54,openmeteo_archive,2.0,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR18-B82.5,"Will the **high temp in LA** be 82-83° on Mar 18, 2026?",finalized,Los Angeles,"Mar 18, 2026",between,82.0,83.0,96.08,9.54,openmeteo_archive,1.52,NO,YES,100.0,0.0,100.0,0.0,99.0,LOSS
KXHIGHLAX-26MAR17-T90,"Will the **high temp in LA** be >90° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",greater_than,90.0,,98.24,12.78,openmeteo_archive,74.05,YES,YES,100.0,0.0,100.0,0.0,99.0,WIN
KXHIGHLAX-26MAR17-T83,"Will the **high temp in LA** be <83° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",less_than,,83.0,98.24,12.78,openmeteo_archive,11.65,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR17-B89.5,"Will the **high temp in LA** be 89-90° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",between,89.0,90.0,98.24,12.78,openmeteo_archive,2.47,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR17-B87.5,"Will the **high temp in LA** be 87-88° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",between,87.0,88.0,98.24,12.78,openmeteo_archive,2.19,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR17-B85.5,"Will the **high temp in LA** be 85-86° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",between,85.0,86.0,98.24,12.78,openmeteo_archive,1.9,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR17-B83.5,"Will the **high temp in LA** be 83-84° on Mar 17, 2026?",finalized,Los Angeles,"Mar 17, 2026",between,83.0,84.0,98.24,12.78,openmeteo_archive,1.61,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR16-T86,"Will the **high temp in LA** be >86° on Mar 16, 2026?",finalized,Los Angeles,"Mar 16, 2026",greater_than,86.0,,91.04,11.22,openmeteo_archive,67.34,YES,NO,100.0,0.0,100.0,0.0,4.0,LOSS
KXHIGHLAX-26MAR16-T79,"Will the **high temp in LA** be <79° on Mar 16, 2026?",finalized,Los Angeles,"Mar 16, 2026",less_than,,79.0,91.04,11.22,openmeteo_archive,14.16,NO,YES,100.0,0.0,100.0,0.0,95.0,LOSS
KXHIGHLAX-26MAR16-B85.5,"Will the **high temp in LA** be 85-86° on Mar 16, 2026?",finalized,Los Angeles,"Mar 16, 2026",between,85.0,86.0,91.04,11.22,openmeteo_archive,3.15,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR16-B83.5,"Will the **high temp in LA** be 83-84° on Mar 16, 2026?",finalized,Los Angeles,"Mar 16, 2026",between,83.0,84.0,91.04,11.22,openmeteo_archive,2.84,NO,NO,100.0,0.0,100.0,0.0,2.0,WIN
KXHIGHLAX-26MAR16-B81.5,"Will the **high temp in LA** be 81-82° on Mar 16, 2026?",finalized,Los Angeles,"Mar 16, 2026",between,81.0,82.0,91.04,11.22,openmeteo_archive,2.48,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR16-B79.5,"Will the **high temp in LA** be 79-80° on Mar 16, 2026?",finalized,Los Angeles,"Mar 16, 2026",between,79.0,80.0,91.04,11.22,openmeteo_archive,2.1,NO,NO,100.0,0.0,100.0,0.0,2.0,WIN
KXHIGHLAX-26MAR15-T79,"Will the **high temp in LA** be >79° on Mar 15, 2026?",finalized,Los Angeles,"Mar 15, 2026",greater_than,79.0,,82.4,8.52,openmeteo_archive,65.51,YES,NO,100.0,0.0,100.0,0.0,1.0,LOSS
KXHIGHLAX-26MAR15-T72,"Will the **high temp in LA** be <72° on Mar 15, 2026?",finalized,Los Angeles,"Mar 15, 2026",less_than,,72.0,82.4,8.52,openmeteo_archive,11.11,NO,YES,100.0,0.0,100.0,0.0,99.0,LOSS
KXHIGHLAX-26MAR15-B78.5,"Will the **high temp in LA** be 78-79° on Mar 15, 2026?",finalized,Los Angeles,"Mar 15, 2026",between,78.0,79.0,82.4,8.52,openmeteo_archive,4.21,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR15-B76.5,"Will the **high temp in LA** be 76-77° on Mar 15, 2026?",finalized,Los Angeles,"Mar 15, 2026",between,76.0,77.0,82.4,8.52,openmeteo_archive,3.68,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR15-B74.5,"Will the **high temp in LA** be 74-75° on Mar 15, 2026?",finalized,Los Angeles,"Mar 15, 2026",between,74.0,75.0,82.4,8.52,openmeteo_archive,3.05,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR15-B72.5,"Will the **high temp in LA** be 72-73° on Mar 15, 2026?",finalized,Los Angeles,"Mar 15, 2026",between,72.0,73.0,82.4,8.52,openmeteo_archive,2.38,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR14-T79,"Will the **high temp in LA** be >79° on Mar 14, 2026?",finalized,Los Angeles,"Mar 14, 2026",greater_than,79.0,,83.84,8.22,openmeteo_archive,72.2,YES,NO,100.0,0.0,100.0,0.0,1.0,LOSS
KXHIGHLAX-26MAR14-T72,"Will the **high temp in LA** be <72° on Mar 14, 2026?",finalized,Los Angeles,"Mar 14, 2026",less_than,,72.0,83.84,8.22,openmeteo_archive,7.49,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR14-B78.5,"Will the **high temp in LA** be 78-79° on Mar 14, 2026?",finalized,Los Angeles,"Mar 14, 2026",between,78.0,79.0,83.84,8.22,openmeteo_archive,3.93,NO,YES,100.0,0.0,100.0,0.0,99.0,LOSS
KXHIGHLAX-26MAR14-B76.5,"Will the **high temp in LA** be 76-77° on Mar 14, 2026?",finalized,Los Angeles,"Mar 14, 2026",between,76.0,77.0,83.84,8.22,openmeteo_archive,3.26,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR14-B74.5,"Will the **high temp in LA** be 74-75° on Mar 14, 2026?",finalized,Los Angeles,"Mar 14, 2026",between,74.0,75.0,83.84,8.22,openmeteo_archive,2.55,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR14-B72.5,"Will the **high temp in LA** be 72-73° on Mar 14, 2026?",finalized,Los Angeles,"Mar 14, 2026",between,72.0,73.0,83.84,8.22,openmeteo_archive,1.88,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR13-T88,"Will the **high temp in LA** be >88° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",greater_than,88.0,,92.48,12.9,openmeteo_archive,63.58,YES,NO,100.0,0.0,100.0,0.0,1.0,LOSS
KXHIGHLAX-26MAR13-T81,"Will the **high temp in LA** be <81° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",less_than,,81.0,92.48,12.9,openmeteo_archive,18.68,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
KXHIGHLAX-26MAR13-B87.5,"Will the **high temp in LA** be 87-88° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",between,87.0,88.0,92.48,12.9,openmeteo_archive,2.87,NO,YES,100.0,0.0,100.0,0.0,99.0,LOSS
KXHIGHLAX-26MAR13-B85.5,"Will the **high temp in LA** be 85-86° on Mar 13, 2026?",finalized,Los Angeles,"Mar 13, 2026",between,85.0,86.0,92.48,12.9,openmeteo_archive,2.67,NO,NO,100.0,0.0,100.0,0.0,1.0,WIN
