ticker,title,comparison,ai_probability_yes,predicted_direction,resolved_outcome,result,source,predicted_temp_f,std_dev
KXHIGHLAX-26MAR18-T89,"Will the **high temp in LA** be >89° on Mar 18, 2026?",greater_than,77.1,YES,NO,LOSS,openmeteo_archive,96.08,9.54
KXHIGHLAX-26MAR18-T82,"Will the **high temp in LA** be <82° on Mar 18, 2026?",less_than,7.0,NO,NO,WIN,openmeteo_archive,96.08,9.54
KXHIGHLAX-26MAR17-T90,"Will the **high temp in LA** be >90° on Mar 17, 2026?",greater_than,74.05,YES,YES,WIN,openmeteo_archive,98.24,12.78
KXHIGHLAX-26MAR17-T83,"Will the **high temp in LA** be <83° on Mar 17, 2026?",less_than,11.65,NO,NO,WIN,openmeteo_archive,98.24,12.78
KXHIGHLAX-26MAR16-T86,"Will the **high temp in LA** be >86° on Mar 16, 2026?",greater_than,67.34,YES,NO,LOSS,openmeteo_archive,91.04,11.22
KXHIGHLAX-26MAR16-T79,"Will the **high temp in LA** be <79° on Mar 16, 2026?",less_than,14.16,NO,YES,LOSS,openmeteo_archive,91.04,11.22
KXHIGHLAX-26MAR15-T79,"Will the **high temp in LA** be >79° on Mar 15, 2026?",greater_than,65.51,YES,NO,LOSS,openmeteo_archive,82.4,8.52
KXHIGHLAX-26MAR15-T72,"Will the **high temp in LA** be <72° on Mar 15, 2026?",less_than,11.11,NO,YES,LOSS,openmeteo_archive,82.4,8.52
KXHIGHLAX-26MAR14-T79,"Will the **high temp in LA** be >79° on Mar 14, 2026?",greater_than,72.2,YES,NO,LOSS,openmeteo_archive,83.84,8.22
KXHIGHLAX-26MAR14-T72,"Will the **high temp in LA** be <72° on Mar 14, 2026?",less_than,7.49,NO,NO,WIN,openmeteo_archive,83.84,8.22
KXHIGHLAX-26MAR13-T88,"Will the **high temp in LA** be >88° on Mar 13, 2026?",greater_than,63.58,,NO,NO_SIGNAL,openmeteo_archive,92.48,12.9
KXHIGHLAX-26MAR13-T81,"Will the **high temp in LA** be <81° on Mar 13, 2026?",less_than,18.68,NO,NO,WIN,openmeteo_archive,92.48,12.9
KXHIGHLAX-26MAR12-T92,"Will the **high temp in LA** be >92° on Mar 12, 2026?",greater_than,49.27,,NO,NO_SIGNAL,openmeteo_archive,91.76,13.14
KXHIGHLAX-26MAR12-T85,"Will the **high temp in LA** be <85° on Mar 12, 2026?",less_than,30.35,NO,YES,LOSS,openmeteo_archive,91.76,13.14
KXHIGHLAX-26MAR11-T77,"Will the **high temp in LA** be >77° on Mar 11, 2026?",greater_than,53.34,,NO,NO_SIGNAL,openmeteo_archive,77.72,8.58
KXHIGHLAX-26MAR11-T70,"Will the **high temp in LA** be <70° on Mar 11, 2026?",less_than,18.41,NO,YES,LOSS,openmeteo_archive,77.72,8.58
KXHIGHLAX-26MAR10-T72,"Will the **high temp in LA** be >72° on Mar 10, 2026?",greater_than,45.77,,NO,NO_SIGNAL,openmeteo_archive,71.42,5.46
KXHIGHLAX-26MAR10-T65,"Will the **high temp in LA** be <65° on Mar 10, 2026?",less_than,11.98,NO,NO,WIN,openmeteo_archive,71.42,5.46
KXHIGHLAX-26MAR09-T74,"Will the **high temp in LA** be >74° on Mar 9, 2026?",greater_than,48.55,,NO,NO_SIGNAL,openmeteo_archive,73.76,6.6
KXHIGHLAX-26MAR09-T67,"Will the **high temp in LA** be <67° on Mar 9, 2026?",less_than,15.29,NO,NO,WIN,openmeteo_archive,73.76,6.6
