timestamp,ticker,title,status,city,date,market_type,comparison,threshold_low,threshold_high,predicted_temp_f,ai_probability_yes,yes_ask_percent,yes_bid_percent,no_ask_percent,no_bid_percent,last_price_percent,edge_vs_yes_ask,decision
2026-03-18 18:10:08,KXHIGHLAX-26MAR19-T90,"Will the **high temp in LA** be >90° on Mar 19, 2026?",active,Los Angeles,"Mar 19, 2026",daily_high_temperature,greater_than,90.0,,80.58,6.84,41.0,33.0,67.0,59.0,38.0,-34.16,BUY_NO
2026-03-18 18:10:08,KXHIGHLAX-26MAR19-T83,"Will the **high temp in LA** be <83° on Mar 19, 2026?",active,Los Angeles,"Mar 19, 2026",daily_high_temperature,less_than,,83.0,80.58,64.88,33.0,32.0,68.0,67.0,33.0,31.88,BUY_YES
2026-03-18 18:10:09,KXHIGHLAX-26MAR19-B89.5,"Will the **high temp in LA** be 89-90° on Mar 19, 2026?",active,Los Angeles,"Mar 19, 2026",daily_high_temperature,between,89.0,90.0,80.58,2.34,12.0,11.0,89.0,88.0,11.0,-9.66,SKIP
2026-03-18 18:10:09,KXHIGHLAX-26MAR19-B87.5,"Will the **high temp in LA** be 87-88° on Mar 19, 2026?",active,Los Angeles,"Mar 19, 2026",daily_high_temperature,between,87.0,88.0,80.58,3.47,8.0,7.0,93.0,92.0,7.0,-4.53,SKIP
2026-03-18 18:10:09,KXHIGHLAX-26MAR19-B85.5,"Will the **high temp in LA** be 85-86° on Mar 19, 2026?",active,Los Angeles,"Mar 19, 2026",daily_high_temperature,between,85.0,86.0,80.58,4.66,7.0,6.0,94.0,93.0,7.0,-2.34,SKIP
2026-03-18 18:10:10,KXHIGHLAX-26MAR19-B83.5,"Will the **high temp in LA** be 83-84° on Mar 19, 2026?",active,Los Angeles,"Mar 19, 2026",daily_high_temperature,between,83.0,84.0,80.58,5.66,8.0,7.0,93.0,92.0,7.0,-2.34,SKIP
2026-03-18 18:10:10,KXHIGHLAX-26MAR18-T89,"Will the **high temp in LA** be >89° on Mar 18, 2026?",active,Los Angeles,"Mar 18, 2026",daily_high_temperature,greater_than,89.0,,83.39,0.25,33.0,31.0,69.0,67.0,32.0,-32.75,BUY_NO
2026-03-18 18:10:10,KXHIGHLAX-26MAR18-T82,"Will the **high temp in LA** be <82° on Mar 18, 2026?",active,Los Angeles,"Mar 18, 2026",daily_high_temperature,less_than,,82.0,83.39,24.35,3.0,2.0,98.0,97.0,3.0,21.35,BUY_YES
2026-03-18 18:10:11,KXHIGHLAX-26MAR18-B88.5,"Will the **high temp in LA** be 88-89° on Mar 18, 2026?",active,Los Angeles,"Mar 18, 2026",daily_high_temperature,between,88.0,89.0,83.39,0.81,21.0,20.0,80.0,79.0,23.0,-20.19,BUY_NO
2026-03-18 18:10:11,KXHIGHLAX-26MAR18-B86.5,"Will the **high temp in LA** be 86-87° on Mar 18, 2026?",active,Los Angeles,"Mar 18, 2026",daily_high_temperature,between,86.0,87.0,83.39,6.04,14.0,13.0,87.0,86.0,13.0,-7.96,SKIP
2026-03-18 18:10:12,KXHIGHLAX-26MAR18-B84.5,"Will the **high temp in LA** be 84-85° on Mar 18, 2026?",active,Los Angeles,"Mar 18, 2026",daily_high_temperature,between,84.0,85.0,83.39,16.98,23.0,18.0,82.0,77.0,23.0,-6.02,SKIP
2026-03-18 18:10:12,KXHIGHLAX-26MAR18-B82.5,"Will the **high temp in LA** be 82-83° on Mar 18, 2026?",active,Los Angeles,"Mar 18, 2026",daily_high_temperature,between,82.0,83.0,83.39,17.92,16.0,15.0,85.0,84.0,15.0,1.92,SKIP
