ticker,title,ai_probability_yes,predicted_direction,resolved_outcome,edge,confidence,result,pnl_percent
KXHIGHLAX-26MAR18-T89,"Will the **high temp in LA** be >89° on Mar 18, 2026?",0.08,NO,NO,-49.92,49.92,WIN,50.0
KXHIGHLAX-26MAR18-T82,"Will the **high temp in LA** be <82° on Mar 18, 2026?",96.08,YES,NO,46.08,46.08,LOSS,-50.0
KXHIGHLAX-26MAR18-B88.5,"Will the **high temp in LA** be 88-89° on Mar 18, 2026?",0.07,NO,NO,-49.93,49.93,WIN,50.0
KXHIGHLAX-26MAR18-B86.5,"Will the **high temp in LA** be 86-87° on Mar 18, 2026?",0.23,NO,NO,-49.77,49.77,WIN,50.0
KXHIGHLAX-26MAR18-B84.5,"Will the **high temp in LA** be 84-85° on Mar 18, 2026?",0.62,NO,NO,-49.38,49.38,WIN,50.0
KXHIGHLAX-26MAR18-B82.5,"Will the **high temp in LA** be 82-83° on Mar 18, 2026?",1.42,NO,YES,-48.58,48.58,LOSS,-50.0
KXHIGHLAX-26MAR17-T90,"Will the **high temp in LA** be >90° on Mar 17, 2026?",0.02,NO,YES,-49.98,49.98,LOSS,-50.0
KXHIGHLAX-26MAR17-T83,"Will the **high temp in LA** be <83° on Mar 17, 2026?",98.61,YES,NO,48.61,48.61,LOSS,-50.0
KXHIGHLAX-26MAR17-B89.5,"Will the **high temp in LA** be 89-90° on Mar 17, 2026?",0.02,NO,NO,-49.98,49.98,WIN,50.0
KXHIGHLAX-26MAR17-B87.5,"Will the **high temp in LA** be 87-88° on Mar 17, 2026?",0.07,NO,NO,-49.93,49.93,WIN,50.0
KXHIGHLAX-26MAR17-B85.5,"Will the **high temp in LA** be 85-86° on Mar 17, 2026?",0.21,NO,NO,-49.79,49.79,WIN,50.0
KXHIGHLAX-26MAR17-B83.5,"Will the **high temp in LA** be 83-84° on Mar 17, 2026?",0.57,NO,NO,-49.43,49.43,WIN,50.0
KXHIGHLAX-26MAR16-T86,"Will the **high temp in LA** be >86° on Mar 16, 2026?",0.12,NO,NO,-49.88,49.88,WIN,50.0
KXHIGHLAX-26MAR16-T79,"Will the **high temp in LA** be <79° on Mar 16, 2026?",94.95,YES,YES,44.95,44.95,WIN,50.0
KXHIGHLAX-26MAR16-B85.5,"Will the **high temp in LA** be 85-86° on Mar 16, 2026?",0.11,NO,NO,-49.89,49.89,WIN,50.0
KXHIGHLAX-26MAR16-B83.5,"Will the **high temp in LA** be 83-84° on Mar 16, 2026?",0.32,NO,NO,-49.68,49.68,WIN,50.0
KXHIGHLAX-26MAR16-B81.5,"Will the **high temp in LA** be 81-82° on Mar 16, 2026?",0.81,NO,NO,-49.19,49.19,WIN,50.0
KXHIGHLAX-26MAR16-B79.5,"Will the **high temp in LA** be 79-80° on Mar 16, 2026?",1.76,NO,NO,-48.24,48.24,WIN,50.0
KXHIGHLAX-26MAR15-T79,"Will the **high temp in LA** be >79° on Mar 15, 2026?",3.01,NO,NO,-46.99,46.99,WIN,50.0
KXHIGHLAX-26MAR15-T72,"Will the **high temp in LA** be <72° on Mar 15, 2026?",68.44,YES,YES,18.44,18.44,WIN,50.0
KXHIGHLAX-26MAR15-B78.5,"Will the **high temp in LA** be 78-79° on Mar 15, 2026?",1.64,NO,NO,-48.36,48.36,WIN,50.0
KXHIGHLAX-26MAR15-B76.5,"Will the **high temp in LA** be 76-77° on Mar 15, 2026?",3.08,NO,NO,-46.92,46.92,WIN,50.0
KXHIGHLAX-26MAR15-B74.5,"Will the **high temp in LA** be 74-75° on Mar 15, 2026?",4.94,NO,NO,-45.06,45.06,WIN,50.0
KXHIGHLAX-26MAR15-B72.5,"Will the **high temp in LA** be 72-73° on Mar 15, 2026?",6.74,NO,NO,-43.26,43.26,WIN,50.0
KXHIGHLAX-26MAR14-T79,"Will the **high temp in LA** be >79° on Mar 14, 2026?",17.88,NO,NO,-32.12,32.12,WIN,50.0
KXHIGHLAX-26MAR14-T72,"Will the **high temp in LA** be <72° on Mar 14, 2026?",31.56,NO,NO,-18.44,18.44,WIN,50.0
KXHIGHLAX-26MAR14-B78.5,"Will the **high temp in LA** be 78-79° on Mar 14, 2026?",5.7,NO,YES,-44.3,44.3,LOSS,-50.0
KXHIGHLAX-26MAR14-B76.5,"Will the **high temp in LA** be 76-77° on Mar 14, 2026?",7.3,NO,NO,-42.7,42.7,WIN,50.0
KXHIGHLAX-26MAR14-B74.5,"Will the **high temp in LA** be 74-75° on Mar 14, 2026?",7.96,NO,NO,-42.04,42.04,WIN,50.0
KXHIGHLAX-26MAR14-B72.5,"Will the **high temp in LA** be 72-73° on Mar 14, 2026?",7.41,NO,NO,-42.59,42.59,WIN,50.0
KXHIGHLAX-26MAR13-T88,"Will the **high temp in LA** be >88° on Mar 13, 2026?",0.15,NO,NO,-49.85,49.85,WIN,50.0
KXHIGHLAX-26MAR13-T81,"Will the **high temp in LA** be <81° on Mar 13, 2026?",94.06,YES,NO,44.06,44.06,LOSS,-50.0
KXHIGHLAX-26MAR13-B87.5,"Will the **high temp in LA** be 87-88° on Mar 13, 2026?",0.14,NO,YES,-49.86,49.86,LOSS,-50.0
KXHIGHLAX-26MAR13-B85.5,"Will the **high temp in LA** be 85-86° on Mar 13, 2026?",0.39,NO,NO,-49.61,49.61,WIN,50.0
KXHIGHLAX-26MAR13-B83.5,"Will the **high temp in LA** be 83-84° on Mar 13, 2026?",0.96,NO,NO,-49.04,49.04,WIN,50.0
KXHIGHLAX-26MAR13-B81.5,"Will the **high temp in LA** be 81-82° on Mar 13, 2026?",2.02,NO,NO,-47.98,47.98,WIN,50.0
KXHIGHLAX-26MAR12-T92,"Will the **high temp in LA** be >92° on Mar 12, 2026?",0.0,NO,NO,-50.0,50.0,WIN,50.0
KXHIGHLAX-26MAR12-T85,"Will the **high temp in LA** be <85° on Mar 12, 2026?",99.53,YES,YES,49.53,49.53,WIN,50.0
KXHIGHLAX-26MAR12-B91.5,"Will the **high temp in LA** be 91-92° on Mar 12, 2026?",0.0,NO,NO,-50.0,50.0,WIN,50.0
KXHIGHLAX-26MAR12-B89.5,"Will the **high temp in LA** be 89-90° on Mar 12, 2026?",0.02,NO,NO,-49.98,49.98,WIN,50.0
KXHIGHLAX-26MAR12-B87.5,"Will the **high temp in LA** be 87-88° on Mar 12, 2026?",0.07,NO,NO,-49.93,49.93,WIN,50.0
KXHIGHLAX-26MAR12-B85.5,"Will the **high temp in LA** be 85-86° on Mar 12, 2026?",0.21,NO,NO,-49.79,49.79,WIN,50.0
KXHIGHLAX-26MAR11-T77,"Will the **high temp in LA** be >77° on Mar 11, 2026?",10.75,NO,NO,-39.25,39.25,WIN,50.0
KXHIGHLAX-26MAR11-B76.5,"Will the **high temp in LA** be 76-77° on Mar 11, 2026?",4.17,NO,NO,-45.83,45.83,WIN,50.0
KXHIGHLAX-26MAR11-B74.5,"Will the **high temp in LA** be 74-75° on Mar 11, 2026?",6.06,NO,NO,-43.94,43.94,WIN,50.0
KXHIGHLAX-26MAR11-B72.5,"Will the **high temp in LA** be 72-73° on Mar 11, 2026?",7.52,NO,NO,-42.48,42.48,WIN,50.0
KXHIGHLAX-26MAR11-B70.5,"Will the **high temp in LA** be 70-71° on Mar 11, 2026?",7.95,NO,NO,-42.05,42.05,WIN,50.0
KXHIGHLAX-26MAR10-T72,"Will the **high temp in LA** be >72° on Mar 10, 2026?",31.56,NO,NO,-18.44,18.44,WIN,50.0
KXHIGHLAX-26MAR10-T65,"Will the **high temp in LA** be <65° on Mar 10, 2026?",17.88,NO,NO,-32.12,32.12,WIN,50.0
KXHIGHLAX-26MAR10-B71.5,"Will the **high temp in LA** be 71-72° on Mar 10, 2026?",7.41,NO,NO,-42.59,42.59,WIN,50.0
KXHIGHLAX-26MAR10-B69.5,"Will the **high temp in LA** be 69-70° on Mar 10, 2026?",7.96,NO,NO,-42.04,42.04,WIN,50.0
KXHIGHLAX-26MAR10-B67.5,"Will the **high temp in LA** be 67-68° on Mar 10, 2026?",7.3,NO,YES,-42.7,42.7,LOSS,-50.0
KXHIGHLAX-26MAR10-B65.5,"Will the **high temp in LA** be 65-66° on Mar 10, 2026?",5.7,NO,NO,-44.3,44.3,WIN,50.0
KXHIGHLAX-26MAR09-T67,"Will the **high temp in LA** be <67° on Mar 9, 2026?",6.94,NO,NO,-43.06,43.06,WIN,50.0
KXHIGHLAX-26MAR09-B73.5,"Will the **high temp in LA** be 73-74° on Mar 9, 2026?",7.84,NO,NO,-42.16,42.16,WIN,50.0
KXHIGHLAX-26MAR09-B71.5,"Will the **high temp in LA** be 71-72° on Mar 9, 2026?",6.74,NO,NO,-43.26,43.26,WIN,50.0
KXHIGHLAX-26MAR09-B69.5,"Will the **high temp in LA** be 69-70° on Mar 9, 2026?",4.94,NO,YES,-45.06,45.06,LOSS,-50.0
KXHIGHLAX-26MAR09-B67.5,"Will the **high temp in LA** be 67-68° on Mar 9, 2026?",3.08,NO,NO,-46.92,46.92,WIN,50.0
KXHIGHLAX-26MAR08-T91,"Will the **high temp in LA** be >91° on Mar 8, 2026?",0.02,NO,NO,-49.98,49.98,WIN,50.0
KXHIGHLAX-26MAR08-T84,"Will the **high temp in LA** be <84° on Mar 8, 2026?",98.46,YES,NO,48.46,48.46,LOSS,-50.0
KXHIGHLAX-26MAR08-B90.5,"Will the **high temp in LA** be 90-91° on Mar 8, 2026?",0.02,NO,NO,-49.98,49.98,WIN,50.0
KXHIGHLAX-26MAR08-B88.5,"Will the **high temp in LA** be 88-89° on Mar 8, 2026?",0.07,NO,YES,-49.93,49.93,LOSS,-50.0
KXHIGHLAX-26MAR08-B86.5,"Will the **high temp in LA** be 86-87° on Mar 8, 2026?",0.23,NO,NO,-49.77,49.77,WIN,50.0
KXHIGHLAX-26MAR08-B84.5,"Will the **high temp in LA** be 84-85° on Mar 8, 2026?",0.62,NO,NO,-49.38,49.38,WIN,50.0
KXHIGHLAX-26MAR07-T85,"Will the **high temp in LA** be >85° on Mar 7, 2026?",0.47,NO,NO,-49.53,49.53,WIN,50.0
KXHIGHLAX-26MAR07-T78,"Will the **high temp in LA** be <78° on Mar 7, 2026?",88.49,YES,NO,38.49,38.49,LOSS,-50.0
KXHIGHLAX-26MAR07-B84.5,"Will the **high temp in LA** be 84-85° on Mar 7, 2026?",0.35,NO,NO,-49.65,49.65,WIN,50.0
KXHIGHLAX-26MAR07-B82.5,"Will the **high temp in LA** be 82-83° on Mar 7, 2026?",0.88,NO,NO,-49.12,49.12,WIN,50.0
KXHIGHLAX-26MAR07-B80.5,"Will the **high temp in LA** be 80-81° on Mar 7, 2026?",1.89,NO,NO,-48.11,48.11,WIN,50.0
KXHIGHLAX-26MAR07-B78.5,"Will the **high temp in LA** be 78-79° on Mar 7, 2026?",3.43,NO,YES,-46.57,46.57,LOSS,-50.0
KXHIGHLAX-26MAR06-T76,"Will the **high temp in LA** be >76° on Mar 6, 2026?",14.92,NO,NO,-35.08,35.08,WIN,50.0
KXHIGHLAX-26MAR06-T69,"Will the **high temp in LA** be <69° on Mar 6, 2026?",35.94,NO,NO,-14.06,14.06,WIN,50.0
KXHIGHLAX-26MAR06-B75.5,"Will the **high temp in LA** be 75-76° on Mar 6, 2026?",5.13,NO,NO,-44.87,44.87,WIN,50.0
KXHIGHLAX-26MAR06-B73.5,"Will the **high temp in LA** be 73-74° on Mar 6, 2026?",6.89,NO,YES,-43.11,43.11,LOSS,-50.0
KXHIGHLAX-26MAR06-B71.5,"Will the **high temp in LA** be 71-72° on Mar 6, 2026?",7.89,NO,NO,-42.11,42.11,WIN,50.0
KXHIGHLAX-26MAR06-B69.5,"Will the **high temp in LA** be 69-70° on Mar 6, 2026?",7.7,NO,NO,-42.3,42.3,WIN,50.0
KXHIGHLAX-26MAR05-T75,"Will the **high temp in LA** be >75° on Mar 5, 2026?",14.01,NO,YES,-35.99,35.99,LOSS,-50.0
KXHIGHLAX-26MAR05-T68,"Will the **high temp in LA** be <68° on Mar 5, 2026?",37.45,NO,NO,-12.55,12.55,WIN,50.0
KXHIGHLAX-26MAR05-B74.5,"Will the **high temp in LA** be 74-75° on Mar 5, 2026?",4.94,NO,NO,-45.06,45.06,WIN,50.0
KXHIGHLAX-26MAR05-B72.5,"Will the **high temp in LA** be 72-73° on Mar 5, 2026?",6.74,NO,NO,-43.26,43.26,WIN,50.0
KXHIGHLAX-26MAR05-B70.5,"Will the **high temp in LA** be 70-71° on Mar 5, 2026?",7.84,NO,NO,-42.16,42.16,WIN,50.0
KXHIGHLAX-26MAR05-B68.5,"Will the **high temp in LA** be 68-69° on Mar 5, 2026?",7.78,NO,NO,-42.22,42.22,WIN,50.0
KXHIGHLAX-26MAR04-T71,"Will the **high temp in LA** be >71° on Mar 4, 2026?",75.17,YES,NO,25.17,25.17,LOSS,-50.0
KXHIGHLAX-26MAR04-T64,"Will the **high temp in LA** be <64° on Mar 4, 2026?",1.88,NO,NO,-48.12,48.12,WIN,50.0
KXHIGHLAX-26MAR04-B70.5,"Will the **high temp in LA** be 70-71° on Mar 4, 2026?",5.88,NO,NO,-44.12,44.12,WIN,50.0
