date,ticker,question,comparison,signal,city,side,result,pnl
2026-03-25,KXHIGHNY-26MAR25-T58,"""Will the high temp in NYC be 58° on Mar 25"," 2026?""",greater_than,BUY_YES_STRONG,NYC,YES,LOSS
2026-03-25,KXHIGHNY-26MAR25-B53.5,"""Will the high temp in NYC be 53-54° on Mar 25"," 2026?""",between,BUY_NO_STRONG,NYC,NO,LOSS
2026-03-25,KXHIGHLAX-26MAR25-B69.5,"""Will the high temp in LA be 69-70° on Mar 25"," 2026?""",between,BUY_NO_STRONG,LA,NO,WIN
2026-03-25,KXHIGHCHI-26MAR25-B70.5,"""Will the high temp in Chicago be 70-71° on Mar 25"," 2026?""",between,BUY_NO_STRONG,Chicago,NO,WIN
2026-03-25,KXHIGHLAX-26MAR25-T65,"""Will the high temp in LA be <65° on Mar 25"," 2026?""",less_than,BUY_YES_STRONG,LA,YES,LOSS
2026-03-25,KXHIGHNY-26MAR25-B55.5,"""Will the high temp in NYC be 55-56° on Mar 25"," 2026?""",between,BUY_NO_STRONG,NYC,NO,WIN
2026-03-25,KXHIGHCHI-26MAR25-T66,"""Will the high temp in Chicago be <66° on Mar 25"," 2026?""",less_than,BUY_YES_STRONG,Chicago,YES,LOSS
2026-03-25,KXHIGHCHI-26MAR25-B72.5,"""Will the high temp in Chicago be 72-73° on Mar 25"," 2026?""",between,BUY_NO_STRONG,Chicago,NO,WIN
2026-03-25,KXHIGHNY-26MAR25-B51.5,"""Will the high temp in NYC be 51-52° on Mar 25"," 2026?""",between,BUY_NO,NYC,NO,WIN
2026-03-25,KXHIGHLAX-26MAR25-B67.5,"""Will the high temp in LA be 67-68° on Mar 25"," 2026?""",between,BUY_NO,LA,NO,LOSS
2026-03-25,KXHIGHLAX-26MAR25-B71.5,"""Will the high temp in LA be 71-72° on Mar 25"," 2026?""",between,BUY_NO,LA,NO,WIN
2026-03-25,KXHIGHCHI-26MAR25-T73,"""Will the high temp in Chicago be 73° on Mar 25"," 2026?""",greater_than,BUY_YES,Chicago,YES,LOSS
2026-03-25,KXHIGHCHI-26MAR25-B68.5,"""Will the high temp in Chicago be 68-69° on Mar 25"," 2026?""",between,BUY_NO,Chicago,NO,WIN
2026-03-25,KXHIGHNY-26MAR25-B57.5,"""Will the high temp in NYC be 57-58° on Mar 25"," 2026?""",between,BUY_NO,NYC,NO,WIN
2026-03-28,KXHIGHCHI-26MAR28-T54,"""Will the high temp in Chicago be 54° on Mar 28"," 2026?""",greater_than,BUY_YES_STRONG,<RONG,Chicago,YES
2026-03-28,KXHIGHNY-26MAR28-T47,"""Will the high temp in NYC be 47° on Mar 28"," 2026?""",greater_than,BUY_YES_STRONG,NYC,YES,LOSS
2026-03-28,KXHIGHCHI-26MAR28-B49.5,"""Will the high temp in Chicago be 49-50° on Mar 28"," 2026?""",between,BUY_NO_STRONG,Chicago,NO,WIN
2026-03-28,KXHIGHNY-26MAR28-B44.5,"""Will the high temp in NYC be 44-45° on Mar 28"," 2026?""",between,BUY_NO_STRONG,NYC,NO,WIN
2026-03-28,KXHIGHNY-26MAR28-B42.5,"""Will the high temp in NYC be 42-43° on Mar 28"," 2026?""",between,BUY_NO_STRONG,NYC,NO,LOSS
2026-03-28,KXHIGHCHI-26MAR28-B51.5,"""Will the high temp in Chicago be 51-52° on Mar 28"," 2026?""",between,BUY_NO_STRONG,Chicago,NO,WIN
2026-03-28,KXHIGHCHI-26MAR28-B47.5,"""Will the high temp in Chicago be 47-48° on Mar 28"," 2026?""",between,BUY_NO,Chicago,NO,LOSS
2026-03-28,KXHIGHNY-26MAR28-B46.5,"""Will the high temp in NYC be 46-47° on Mar 28"," 2026?""",between,BUY_NO,NYC,NO,WIN
2026-03-28,KXHIGHNY-26MAR28-B40.5,"""Will the high temp in NYC be 40-41° on Mar 28"," 2026?""",between,BUY_NO,NYC,NO,WIN
2026-03-28,KXHIGHCHI-26MAR28-T47,"""Will the high temp in Chicago be <47° on Mar 28"," 2026?""",less_than,BUY_NO,Chicago,NO,WIN
2026-03-28,KXHIGHLAX-26MAR28-T79,"""Will the high temp in LA be 79° on Mar 28"," 2026?""",greater_than,BUY_YES,LA,YES,LOSS
2026-03-28,KXHIGHLAX-26MAR28-B74.5,"""Will the high temp in LA be 74-75° on Mar 28"," 2026?""",between,BUY_NO,LA,NO,WIN
2026-03-28,KXHIGHLAX-26MAR28-T72,"""Will the high temp in LA be <72° on Mar 28"," 2026?""",less_than,BUY_YES,LA,YES,WIN
2026-03-28,KXHIGHCHI-26MAR28-B53.5,"""Will the high temp in Chicago be 53-54° on Mar 28"," 2026?""",between,BUY_NO,Chicago,NO,WIN
2026-03-27,KXHIGHCHI-26MAR27-T44,"""Will the high temp in Chicago be 44° on Mar 27"," 2026?""",greater_than,BUY_YES_STRONG,Chicago,YES,LOSS
2026-03-27,KXHIGHNY-26MAR27-B66.5,"""Will the high temp in NYC be 66-67° on Mar 27"," 2026?""",between,BUY_NO_STRONG,NYC,NO,LOSS
2026-03-27,KXHIGHNY-26MAR27-B64.5,"""Will the high temp in NYC be 64-65° on Mar 27"," 2026?""",between,BUY_NO_STRONG,NYC,NO,WIN
2026-03-26,KXHIGHLAX-26MAR26-B70.5,"""Will the high temp in LA be 70-71° on Mar 26"," 2026?""",between,BUY_NO_STRONG,LA,NO,LOSS
2026-03-26,KXHIGHLAX-26MAR26-B68.5,"""Will the high temp in LA be 68-69° on Mar 26"," 2026?""",between,BUY_NO_STRONG,LA,NO,WIN
2026-03-26,KXHIGHLAX-26MAR26-B72.5,"""Will the high temp in LA be 72-73° on Mar 26"," 2026?""",between,BUY_NO_STRONG,LA,NO,WIN
2026-03-26,KXHIGHNY-26MAR26-B71.5,"""Will the high temp in NYC be 71-72° on Mar 26"," 2026?""",between,BUY_NO,NYC,NO,WIN
2026-03-26,KXHIGHNY-26MAR26-T65,"""Will the high temp in NYC be <65° on Mar 26"," 2026?""",less_than,BUY_YES,NYC,YES,LOSS
2026-03-25,KXHIGHLAX-26MAR25-T72,"""Will the high temp in LA be 72° on Mar 25"," 2026?""",greater_than,BUY_YES,LA,YES,LOSS
2026-03-26,KXHIGHLAX-26MAR26-T68,"""Will the high temp in LA be <68° on Mar 26"," 2026?""",less_than,BUY_YES,LA,YES,LOSS
2026-03-26,KXHIGHNY-26MAR26-T72,"""Will the high temp in NYC be 72° on Mar 26"," 2026?""",greater_than,BUY_NO,NYC,NO,LOSS
2026-03-26,KXHIGHLAX-26MAR26-B74.5,"""Will the high temp in LA be 74-75° on Mar 26"," 2026?""",between,BUY_NO,LA,NO,WIN
2026-03-26,KXHIGHCHI-26MAR26-B77.5,"""Will the high temp in Chicago be 77-78° on Mar 26"," 2026?""",between,BUY_NO,Chicago,NO,WIN
2026-03-29,KXHIGHLAX-26MAR29-T79,"""Will the high temp in LA be 79° on Mar 29"," 2026?""",greater_than,BUY_YES,LA,YES,LOSS
