city,timestamp,temp,humidity,pressure,wind,temp_future,hour,day
"Chicago,US",2026-03-17 18:00:00,-6.52,55,1023,3.31,3.64,18,17
"Chicago,US",2026-03-17 21:00:00,-5.23,50,1022,3.1,4.99,21,17
"Chicago,US",2026-03-18 00:00:00,-4.65,53,1023,3.86,1.73,0,18
"Chicago,US",2026-03-18 03:00:00,-4.67,63,1023,3.98,1.36,3,18
"Chicago,US",2026-03-18 06:00:00,-6.7,86,1020,4.47,1.32,6,18
"Chicago,US",2026-03-18 09:00:00,-3.83,92,1018,4.5,1.22,9,18
"Chicago,US",2026-03-18 12:00:00,-2.74,83,1016,4.82,1.65,12,18
"Chicago,US",2026-03-18 15:00:00,0.39,68,1017,4.59,2.38,15,18
"Chicago,US",2026-03-18 18:00:00,3.64,63,1015,3.75,2.83,18,18
"Chicago,US",2026-03-18 21:00:00,4.99,67,1014,2.55,3.51,21,18
"Chicago,US",2026-03-19 00:00:00,1.73,90,1017,2.29,3.43,0,19
"Chicago,US",2026-03-19 03:00:00,1.36,89,1018,1.64,2.59,3,19
"Chicago,US",2026-03-19 06:00:00,1.32,92,1017,1.84,2.21,6,19
"Chicago,US",2026-03-19 09:00:00,1.22,94,1016,1.43,1.72,9,19
"Chicago,US",2026-03-19 12:00:00,1.65,91,1016,1.36,1.5,12,19
"Chicago,US",2026-03-19 15:00:00,2.38,95,1016,2.31,5.03,15,19
"Chicago,US",2026-03-19 18:00:00,2.83,96,1017,2.58,10.97,18,19
"Chicago,US",2026-03-19 21:00:00,3.51,92,1016,2.02,15.2,21,19
"Chicago,US",2026-03-20 00:00:00,3.43,92,1020,2.22,11.25,0,20
"Chicago,US",2026-03-20 03:00:00,2.59,95,1020,3.56,4.6,3,20
"Chicago,US",2026-03-20 06:00:00,2.21,96,1020,2.78,3.12,6,20
"Chicago,US",2026-03-20 09:00:00,1.72,97,1019,1.24,2.61,9,20
"Chicago,US",2026-03-20 12:00:00,1.5,97,1017,1.9,3.39,12,20
"Chicago,US",2026-03-20 15:00:00,5.03,85,1016,2.94,5.72,15,20
"Chicago,US",2026-03-20 18:00:00,10.97,69,1012,4.62,11.21,18,20
"Chicago,US",2026-03-20 21:00:00,15.2,60,1009,4.27,15.12,21,20
"Chicago,US",2026-03-21 00:00:00,11.25,82,1010,3.84,14.84,0,21
"Chicago,US",2026-03-21 03:00:00,4.6,92,1015,5.66,13.83,3,21
"Chicago,US",2026-03-21 06:00:00,3.12,89,1017,5.01,13.36,6,21
"Chicago,US",2026-03-21 09:00:00,2.61,83,1017,3.87,13.34,9,21
"Chicago,US",2026-03-21 12:00:00,3.39,79,1017,1.72,14.59,12,21
"Chicago,US",2026-03-21 15:00:00,5.72,70,1017,1.96,18.58,15,21
"Dallas,US",2026-03-17 18:00:00,9.83,31,1027,4.96,18.92,18,17
"Dallas,US",2026-03-17 21:00:00,14.3,25,1024,6.26,22.61,21,17
"Dallas,US",2026-03-18 00:00:00,14.93,26,1020,5.47,21.49,0,18
"Dallas,US",2026-03-18 03:00:00,8.63,36,1021,5.27,18.24,3,18
"Dallas,US",2026-03-18 06:00:00,10.58,38,1021,6.04,16.31,6,18
"Dallas,US",2026-03-18 09:00:00,9.35,47,1020,5.56,14.91,9,18
"Dallas,US",2026-03-18 12:00:00,8.66,57,1021,4.42,13.79,12,18
"Dallas,US",2026-03-18 15:00:00,11.89,55,1022,5.81,17.33,15,18
"Dallas,US",2026-03-18 18:00:00,18.92,40,1021,5.38,24.61,18,18
"Dallas,US",2026-03-18 21:00:00,22.61,34,1018,5.32,28.41,21,18
"Dallas,US",2026-03-19 00:00:00,21.49,41,1018,3.61,26.5,0,19
"Dallas,US",2026-03-19 03:00:00,18.24,49,1019,3.6,22.57,3,19
"Dallas,US",2026-03-19 06:00:00,16.31,58,1019,3.52,20.39,6,19
"Dallas,US",2026-03-19 09:00:00,14.91,70,1019,4.2,18.95,9,19
"Dallas,US",2026-03-19 12:00:00,13.79,79,1019,4.11,17.86,12,19
"Dallas,US",2026-03-19 15:00:00,17.33,65,1020,4.68,21.22,15,19
"Dallas,US",2026-03-19 18:00:00,24.61,42,1018,4.99,27.61,18,19
"Dallas,US",2026-03-19 21:00:00,28.41,32,1015,4.63,30.83,21,19
"Dallas,US",2026-03-20 00:00:00,26.5,39,1015,3.15,28.3,0,20
"Dallas,US",2026-03-20 03:00:00,22.57,52,1015,3.48,24.0,3,20
"Dallas,US",2026-03-20 06:00:00,20.39,58,1016,1.87,21.68,6,20
"Dallas,US",2026-03-20 09:00:00,18.95,61,1015,1.34,19.7,9,20
"Dallas,US",2026-03-20 12:00:00,17.86,63,1015,1.74,18.83,12,20
"Dallas,US",2026-03-20 15:00:00,21.22,48,1017,1.89,22.06,15,20
"Dallas,US",2026-03-20 18:00:00,27.61,30,1016,2.17,28.45,18,20
"Dallas,US",2026-03-20 21:00:00,30.83,22,1013,1.66,31.7,21,20
"Dallas,US",2026-03-21 00:00:00,28.3,30,1013,1.97,29.72,0,21
"Dallas,US",2026-03-21 03:00:00,24.0,43,1014,2.08,25.28,3,21
"Dallas,US",2026-03-21 06:00:00,21.68,48,1014,2.72,23.48,6,21
"Dallas,US",2026-03-21 09:00:00,19.7,55,1013,2.54,21.74,9,21
"Dallas,US",2026-03-21 12:00:00,18.83,61,1014,0.97,19.79,12,21
"Dallas,US",2026-03-21 15:00:00,22.06,55,1015,1.98,22.32,15,21
"London,GB",2026-03-17 18:00:00,14.5,63,1014,3.54,11.8,18,17
"London,GB",2026-03-17 21:00:00,12.36,72,1015,2.83,10.18,21,17
"London,GB",2026-03-18 00:00:00,11.0,82,1016,2.42,9.2,0,18
"London,GB",2026-03-18 03:00:00,8.88,85,1017,1.97,7.94,3,18
"London,GB",2026-03-18 06:00:00,9.19,89,1019,2.42,7.16,6,18
"London,GB",2026-03-18 09:00:00,11.71,66,1021,4.06,10.62,9,18
"London,GB",2026-03-18 12:00:00,15.7,46,1021,4.41,14.4,12,18
"London,GB",2026-03-18 15:00:00,15.75,41,1021,4.71,14.88,15,18
"London,GB",2026-03-18 18:00:00,11.8,51,1023,4.11,11.72,18,18
"London,GB",2026-03-18 21:00:00,10.18,52,1025,3.82,9.51,21,18
"London,GB",2026-03-19 00:00:00,9.2,64,1026,3.45,7.95,0,19
"London,GB",2026-03-19 03:00:00,7.94,76,1026,2.67,7.05,3,19
"London,GB",2026-03-19 06:00:00,7.16,81,1027,2.94,6.53,6,19
"London,GB",2026-03-19 09:00:00,10.62,65,1027,4.07,9.89,9,19
"London,GB",2026-03-19 12:00:00,14.4,44,1026,4.56,13.82,12,19
"London,GB",2026-03-19 15:00:00,14.88,41,1026,4.71,13.95,15,19
"London,GB",2026-03-19 18:00:00,11.72,57,1026,3.79,10.79,18,19
"London,GB",2026-03-19 21:00:00,9.51,61,1026,3.44,8.42,21,19
"London,GB",2026-03-20 00:00:00,7.95,66,1026,2.49,7.03,0,20
"London,GB",2026-03-20 03:00:00,7.05,73,1025,2.14,5.76,3,20
"London,GB",2026-03-20 06:00:00,6.53,81,1024,2.04,4.56,6,20
"London,GB",2026-03-20 09:00:00,9.89,67,1024,3.26,7.3,9,20
